user_id,movie_id,rating
0,3079,3
0,3592,3
0,1317,1
0,2026,2
0,4439,1
0,4007,3
0,991,5
0,446,2
0,2423,3
0,3528,3
0,609,3
0,4648,3
0,2063,1
0,203,5
0,4646,2
0,2505,1
0,3886,3
0,3833,4
0,2902,2
0,4052,1
0,4881,5
0,4398,2
0,1731,4
0,553,1
0,2099,1
0,3617,3
0,1626,4
0,3353,1
0,527,2
0,4693,3
0,4778,5
0,2749,2
0,3996,1
0,1287,2
0,3991,3
0,536,3
1,3503,1
1,3375,3
1,2806,3
1,1190,1
1,1893,1
1,1773,3
1,3762,2
1,1260,2
1,4092,2
1,4002,1
1,4445,3
1,516,2
1,1234,1
1,2183,1
1,4160,3
1,229,2
1,1269,3
1,174,4
1,1153,2
1,557,2
1,2700,2
1,206,2
1,1157,4
1,1587,4
1,2996,2
1,4952,1
1,388,4
1,3564,3
1,723,2
1,3096,3
1,4017,2
1,4110,2
1,1863,2
1,321,4
1,2593,1
2,3999,2
2,2694,3
2,3865,2
2,2229,2
2,4284,3
2,2464,1
2,924,3
2,1202,2
2,4635,1
2,4598,1
2,265,1
2,97,4
2,17,1
2,4839,3
2,2295,1
2,1317,2
2,4947,2
2,4251,3
2,723,3
2,4133,4
2,2448,4
2,3128,2
2,975,4
2,809,2
2,2544,2
2,1472,1
2,3715,4
2,4577,2
2,2049,2
2,4750,2
2,1924,3
2,601,5
2,1621,2
2,430,3
2,993,1
3,592,2
3,1576,2
3,3691,3
3,1701,3
3,2527,2
3,3865,3
3,1739,3
3,2478,3
3,3180,4
3,262,2
3,1571,2
3,3268,3
3,999,3
3,4086,4
3,4920,4
3,861,3
3,938,4
3,4004,3
3,4115,4
3,496,3
3,4033,5
3,2596,4
3,1767,2
3,4390,4
3,785,2
3,4950,3
3,1055,4
3,1686,4
3,3835,2
3,3357,3
3,1197,2
3,2832,5
3,2288,3
3,1992,2
3,650,3
3,4396,2
3,4257,2
4,1241,4
4,3883,4
4,4945,2
4,766,2
4,1003,3
4,2790,1
4,3651,3
4,2112,3
4,1837,3
4,1535,4
4,3529,3
4,4845,3
4,2690,2
4,2075,2
4,1175,3
4,2196,2
4,192,4
4,226,1
4,2223,4
4,3263,4
4,2300,1
4,340,3
4,590,2
4,2542,3
4,3646,3
4,1585,1
4,4239,3
4,754,3
4,3742,2
4,2019,5
4,1810,3
4,297,4
4,419,1
4,1398,3
4,1007,3
4,2045,3
4,4304,1
4,2661,4
4,1711,2
4,4199,3
4,3537,2
4,583,4
4,3053,3
5,2573,4
5,336,3
5,2227,1
5,4267,3
5,189,4
5,192,4
5,266,3
5,1067,4
5,295,3
5,371,4
5,4478,1
5,2900,2
5,1596,2
5,3981,4
5,2255,3
5,1098,2
5,2850,3
5,4760,3
5,1406,1
5,3386,4
5,805,2
5,1324,2
5,4261,5
5,3108,2
5,3385,4
5,2950,3
5,732,2
5,2995,2
5,2250,3
5,2728,1
5,2951,2
5,331,4
5,1856,1
5,3167,3
5,2541,3
6,3218,1
6,2199,1
6,460,3
6,125,3
6,4295,2
6,824,2
6,835,2
6,2045,2
6,1455,1
6,1902,2
6,3970,3
6,4820,2
6,181,2
6,1571,2
6,1868,1
6,4621,2
6,2983,3
6,2391,5
6,2752,2
6,3884,1
6,840,1
6,1269,4
6,2730,2
6,1812,1
6,143,1
6,2755,4
6,4205,4
6,2878,1
6,1100,3
6,4686,4
6,2263,4
6,2818,1
6,899,1
6,1710,4
6,2384,2
6,3269,1
6,4371,1
6,4806,2
6,3075,1
6,2899,2
6,4256,2
7,3462,2
7,4649,2
7,3273,2
7,471,1
7,3842,3
7,2242,1
7,4691,1
7,679,3
7,4277,3
7,2706,1
7,491,2
7,1149,1
7,4785,1
7,4073,1
7,2777,3
7,4392,2
7,381,1
7,4636,1
7,1259,1
7,57,1
